8.56148,7.80603,8.27259,23.7778,5.30448,84.5333,2.86813,0.118012,5.466666667,1.53299,1.90859,3.463333333,0.65,20.7458
4.73584,6.97312,9.27333,-20.4378,8.99979,85.5333,2.52413,4.65422,5.2,1.20038,0.945971,3.49,0.723333333,13.0077
5.3932,7.29579,12.6318,-6.41413,6.96477,86.0667,3.89075,3.58288,5,1.9999,1.3338,3.456666667,0.696666667,11.3011
1.41116,1.11207,8.46846,-7.11657,5.93957,86.4667,3.38913,4.0558,4.966666667,1.70936,1.37419,3.576666667,0.49,7.56069
9.75148,8.82145,24.6774,1.93994,14.2554,88.8667,4.38099,5.51042,4.9,1.72358,1.25085,3.973333333,0.313333333,7.23318
5.43095,4.40705,14.4515,3.40932,9.08638,89.4,4.55625,4.69866,4.666666667,1.84461,1.9562,4.076666667,0.333333333,2.01857
8.0456,6.83113,14.2243,1.91423,8.46592,89.9333,4.90801,3.42719,4.366666667,1.83614,1.49874,4.073333333,0.38,-3.82222
9.31504,11.0941,16.0021,-7.8623,8.29045,89.9667,5.09586,4.84561,4.1,2.59038,1.25796,4.166666667,0.306666667,20.3928
9.76105,5.84377,16.4086,9.91358,10.9263,91.1333,5.29707,5.73829,3.866666667,2.44752,3.09131,4.556666667,0.16,-3.66182
1.63557,1.01114,6.58034,-32.407,8.29659,91.5333,5.77408,4.25034,3.833333333,3.62259,3.29861,4.913333333,0.193333333,-18.795
2.84625,4.52667,5.23698,-13.5388,6.20769,91.2333,4.56454,1.64079,3.766666667,3.50743,3.04979,5.41,0.096666667,-34.7284
3.41514,1.64492,0,-44.336,3.83145,90.5667,3.33777,1.63408,3.7,3.27204,3.11021,5.563333333,-0.206666667,-11.1344
3.65478,2.32925,-6.61998,-11.1428,-2.29446,88.5667,2.64053,-1.40023,3.833333333,1.67707,1.15997,4.823333333,0.07,33.658
0.351624,5.42402,-0.882585,43.6667,-1.92216,86.8,0.958289,-3.05076,3.833333333,2.38078,1.86128,3.99,1.16,18.6664
3.43516,2.0229,-0.758055,20.7283,3.45326,85.9667,2.74816,2.3488,3.8,3.57497,3.64872,3.893333333,0.946666667,8.29315
3.20583,2.4263,8.01279,22.4445,10.1844,87.3,3.28628,3.26532,3.9,4.35961,3.39735,4.173333333,0.89,-2.96101
8.04215,9.39618,11.6056,1.21075,5.54794,87.3333,2.96554,1.62272,3.733333333,4.35195,4.24409,4.786666667,0.56,-16.7676
