15.92,16.661,15.877,14.046,17.74,18.063,0.086533
16.009,16.69,15.956,14.416,17.785,18.051,0.088033
16.087,16.731,16.027,14.674,17.862,18.034,0.0946
16.168,16.76,16.089,15.068,17.937,18.04,0.0943
16.246,16.809,16.123,15.471,18.013,18.035,0.096867
16.314,16.845,16.18,15.603,18.065,18.038,0.10557
16.353,16.877,16.211,15.696,18.084,18.062,0.1139
16.386,16.901,16.264,15.632,18.11,18.058,0.092667
16.422,16.947,16.33,15.495,18.143,18.072,0.084767
16.456,16.968,16.366,15.565,18.168,18.069,0.079233
16.519,16.987,16.442,15.521,18.179,18.099,0.079
16.549,17.011,16.451,15.675,18.198,18.13,0.081033
16.587,17.032,16.484,15.666,18.192,18.163,0.078267
16.603,17.051,16.526,15.576,18.183,18.218,0.0692
16.641,17.076,16.595,15.448,18.203,18.234,0.062067
16.661,17.104,16.62,15.454,18.233,18.274,0.062667
16.688,17.135,16.622,15.575,18.281,18.234,0.0622
16.731,17.157,16.676,15.581,18.304,18.23,0.0665
16.767,17.186,16.721,15.585,18.332,18.234,0.068433
16.837,17.213,16.731,15.885,18.373,18.25,0.069167
16.856,17.247,16.797,15.653,18.376,18.285,0.066633
16.907,17.286,16.825,15.749,18.433,18.287,0.071567
16.928,17.332,16.859,15.775,18.444,18.29,0.079833
16.98,17.364,16.905,15.827,18.488,18.277,0.0847
17.021,17.406,16.92,15.978,18.527,18.251,0.094433
17.047,17.444,16.939,15.931,18.543,18.201,0.097267
17.075,17.473,16.977,15.884,18.552,18.203,0.090833
17.085,17.5,16.995,15.842,18.553,18.221,0.086133
17.131,17.548,17.027,15.882,18.562,18.234,0.0825
17.142,17.594,17.041,15.882,18.541,18.282,0.082433
17.142,17.629,17.057,15.787,18.514,18.277,0.0816
17.112,17.66,17.028,15.527,18.495,18.25,0.077433
17.091,17.707,17.011,15.359,18.452,18.261,0.064267
17.117,17.732,17.046,15.34,18.427,18.317,0.058633
17.136,17.76,17.063,15.439,18.423,18.336,0.056433
17.155,17.78,17.06,15.587,18.418,18.35,0.048167
17.196,17.806,17.125,15.498,18.398,18.403,0.040233
17.235,17.827,17.148,15.753,18.414,18.408,0.0377
17.274,17.845,17.188,15.795,18.422,18.443,0.032567
17.317,17.866,17.234,15.922,18.449,18.427,0.030367
17.322,17.897,17.248,16.012,18.483,18.414,0.0304
17.343,17.919,17.284,16.043,18.53,18.401,0.03
17.363,17.936,17.327,16.043,18.549,18.4,0.0306
17.416,17.956,17.363,16.245,18.581,18.388,0.0299
17.457,17.981,17.407,16.413,18.597,18.422,0.032133
17.509,17.998,17.435,16.64,18.664,18.393,0.0394
17.531,18.023,17.464,16.569,18.712,18.359,0.044867
17.578,18.042,17.504,16.751,18.736,18.363,0.051667
17.589,18.068,17.51,16.79,18.763,18.37,0.0581
17.596,18.082,17.543,16.682,18.765,18.362,0.0602
17.628,18.099,17.578,16.644,18.806,18.368,0.057967
17.658,18.119,17.605,16.755,18.81,18.386,0.0572
17.686,18.143,17.64,16.81,18.804,18.395,0.053633
17.751,18.157,17.683,17.011,18.837,18.399,0.052433
17.784,18.176,17.709,17.206,18.868,18.407,0.053067
17.831,18.192,17.742,17.191,18.917,18.392,0.0528
17.861,18.214,17.785,17.274,18.962,18.395,0.052767
17.922,18.228,17.804,17.532,18.984,18.417,0.055233
17.971,18.238,17.869,17.611,19.006,18.437,0.055333
18.001,18.252,17.91,17.676,19.026,18.486,0.055067
